Code,Site_name,Location,PlateName,Type,lon,lat,Eastward[mm/a],Northward[mm/a],Error_east,Error_north,Error_east2,Error_north1
CHAN,21611M002,Changchun,Amurian,P,125.444,43.598,25.67,-11.74,0.13,0.15,0.36,0.63
TAEJ,23902M001,Taejon,Amurian,P,127.366,36.191,26.66,-12.56,0.06,0.06,0.02,0.01
KHAJ,12361M001,Khabarovsk,Amurian,P,135.046,48.33,22.22,-13.81,0.08,0.1,-0.21,-0.38
MARA,30313S001,Marion Island,Antarctica,D,37.857,-46.687,6.98,1.6,0.57,0.53,2.08,-1.61
SYOG,66006S002,Syowa,Antarctica,DPR,39.584,-68.878,-4,2.76,0.04,0.05,0.07,-0.04
MAW1,66004M001,Mawson Station,Antarctica,P,62.871,-67.469,-3.7,-2.31,0.04,0.05,-0.1,-0.15
DAV1,66010M001,Davis,Antarctica,P,77.973,-68.446,-2.79,-5.26,0.04,0.06,0.25,-0.03
CAS1,66011M001,Casey,Antarctica,P,110.52,-66.141,1.73,-9.99,0.04,0.05,-0.35,0.33
DUM1,91501M001,Ile des Petrels,Antarctica,DP,140.002,-66.525,8.36,-11.42,0.06,0.08,0.92,0.71
MCM4,66001M003,Mc Murdo,Antarctica,P,166.669,-77.759,9.95,-11.57,0.04,0.05,0.76,-0.47
BELB,66018S001,Belgrano,Antarctica,D,325.372,-77.795,2.46,12.09,0.88,0.9,-1.07,-0.28
VESL,66009M001,Sanae,Antarctica,P,357.158,-71.559,-0.55,10.37,0.04,0.05,-0.14,0.18
HALY,20102M001,Halat Ammar,Arabia,P,36.1,28.976,27.12,23.01,0.27,0.24,1.12,-0.34
7832,20101S001,Solar Village,Arabia,L,46.4,24.764,31.84,28.95,0.14,0.13,0.55,0.72
BHR2,24901M002,Bahrein (Juffar),Arabia,P,50.608,26.057,31.14,30.03,0.06,0.06,-0.1,0.1
YIBL,25001M001,Yibal/Oman,Arabia,P,56.112,22.052,35.2,31.87,0.12,0.1,0.16,-0.12
YAR1,50107M004,Yarragadee,Australia,DLP,115.347,-28.884,38.96,57.79,0.05,0.06,-0.01,-0.08
NNOR,50181M001,New Norcia,Australia,P,116.193,-30.879,38.66,58.08,0.07,0.08,0.41,0.04
KARR,50139M001,Karratha,Australia,P,117.097,-20.853,38.89,58.36,0.06,0.05,-0.06,0.08
DARW,50134M001,Darwin,Australia,P,131.133,-12.761,35.62,59.38,0.08,0.05,-0.23,0.14
CEDU,50138M001,Ceduna,Australia,P,133.81,-31.694,29.11,58.7,0.06,0.06,0.44,-0.19
ALIC,50137M001,Alice Springs,Australia,P,133.886,-23.529,32.01,59.1,0.06,0.05,0.09,0.15
ADE1,50109S001,Salisbury,Australia,P,138.647,-34.549,24.76,58.46,0.06,0.06,0.15,0.34
BUR1,50144M001,Burnie,Australia,P,145.915,-40.86,15.54,57.29,0.18,0.22,-0.84,1.12
TOW2,50140M001,Townsville,Australia,P,147.056,-19.15,28.84,55.87,0.06,0.05,-0.29,-0.14
HOB2,50116M004,Hobart,Australia,PR,147.439,-42.613,14.12,55.8,0.06,0.07,-0.07,0.16
PARK,50108M001,Parkes,Australia,PR,148.265,-32.823,19.4,55.05,0.2,0.21,-0.99,-0.41
TIDB,50103M108,Tidbinbilla,Australia,DLPR,148.98,-35.218,18.23,55.49,0.06,0.07,-0.17,0.32
STR1,50119M002,Mount Stromlo,Australia,DLP,149.01,-35.134,18.4,55.52,0.06,0.07,-0.03,0.36
SYDN,50124M003,Sydney,Australia,P,151.15,-33.603,17.99,54.6,0.12,0.14,-0.37,0.26
SUNM,50143M001,Brisbane,Australia,P,153.035,-27.328,21.57,53.65,0.2,0.22,-0.29,0.04
KOUC,92727S001,Koumac,Australia,P,164.287,-20.432,24.15,47.81,0.08,0.1,1.1,0.07
NOUM,92701M003,Noumea,Australia,DP,166.41,-22.135,20.52,46.12,0.07,0.09,-0.52,-0.28
TAKL,50216S001,Auckland T. Gauge,Australia,P,174.77,-36.659,4.98,40.01,0.13,0.23,0.45,-0.38
AUCK,50209M001,Auckland,Australia,P,174.834,-36.419,4.51,39.88,0.04,0.07,-0.23,-0.46
CRO1,43201M001,Sainte Croix,Caribbean,PR,295.416,17.645,10.59,13.44,0.07,0.06,-0.03,-0.04
BARB,43401S001,Bridgetown,Caribbean,P,300.391,13.003,13.98,16.09,0.27,0.15,0.21,-0.04
HERS,13212M007,Herstmonceux,Eurasia,LP,0.336,50.679,16.8,16.57,0.04,0.07,-0.15,0.16
EBRE,13410M001,Roquetes,Eurasia,P,0.492,40.631,19.62,16.31,0.05,0.14,0.05,-0.2
SHEE,13236M001,Sheerness,Eurasia,P,0.743,51.258,17.04,16.13,0.06,0.1,0.17,-0.26
BELL,13431M001,Bellmunt,Eurasia,P,1.401,41.409,19.08,15.91,0.17,0.47,-0.48,-0.55
TOUL,10003M004,Toulouse,Eurasia,DP,1.481,43.369,19.54,16.23,0.04,0.09,0.43,-0.2
OPMT,10001S006,Paris,Eurasia,P,2.335,48.645,18.32,15.93,0.04,0.11,0.39,-0.4
MALL,13444M001,Palma de Mallorc,Eurasia,P,2.625,39.364,19.08,16.33,0.18,0.3,-1.15,-0.09
BRUS,13101M004,Brussels,Eurasia,P,4.359,50.609,17.51,16.07,0.04,0.07,-0.32,-0.11
SJDV,10090M001,Saint-Jean-des-v,Eurasia,P,4.677,45.687,19.53,15.96,0.04,0.08,0.36,-0.24
REDU,13102M001,Redu,Eurasia,P,5.145,49.812,18.24,15.75,0.06,0.16,0.02,-0.38
TERS,13534M001,Terschelling,Eurasia,P,5.219,53.178,18.15,14.77,0.3,0.84,0.84,-1.31
MARS,10073M008,Marseille,Eurasia,P,5.354,43.087,19.92,15.95,0.06,0.13,0.02,-0.23
EIJS,13533M001,Eijsden,Eurasia,P,5.684,50.57,17.86,16.03,0.32,0.91,-0.26,-0.04
KOSG,13504M003,Kootwijk,Eurasia,P,5.81,51.992,18.01,16.28,0.04,0.07,0.24,0.23
WSRT,13506M005,Westerbork,Eurasia,P,6.605,52.729,17.64,16.44,0.04,0.06,-0.1,0.46
BORK,14268M001,Borkum,Eurasia,P,6.747,53.38,17.97,15.69,0.1,0.14,0.39,-0.27
7203,14209S001,Effelsberg,Eurasia,R,6.884,50.336,18.4,16.03,0.09,0.25,-0.03,0.04
WAB2,14014M002,Wabern,Eurasia,P,7.464,46.732,19.8,16.02,0.05,0.12,0.34,0.04
ZIMM,14001M004,Zimmerwald,Eurasia,LP,7.465,46.685,19.68,16.32,0.04,0.07,0.21,0.34
IENG,12724S001,Torino,Eurasia,P,7.639,44.823,20.57,15.81,0.04,0.09,0.63,-0.18
HELG,14264M001,Helgoland Island,Eurasia,P,7.893,53.992,17.52,16.09,0.04,0.08,-0.14,0.23
AJAC,10077M005,Ajaccio,Eurasia,LP,8.763,41.736,21.06,15.97,0.04,0.08,0.26,0.05
PTBB,14234M001,Braunschweig,Eurasia,P,10.46,52.11,18.89,15.78,0.05,0.1,0.18,0.14
OBER,14208M001,Oberpfaffenhofen,Eurasia,P,11.28,47.895,20.29,15.85,0.05,0.09,0.36,0.24
WARN,14277M002,Warnemuende,Eurasia,P,12.101,53.987,17.93,15.31,0.22,0.29,-0.64,-0.14
BUDP,10101M003,Copenhagen,Eurasia,P,12.5,55.56,17.97,15.06,0.06,0.1,-0.26,-0.33
WTZR,14201M010,Wettzell,Eurasia,LPR,12.879,48.954,20.28,15.55,0.04,0.06,0.28,0.12
POTS,14106M003,Potsdam,Eurasia,LP,13.066,52.193,19.13,15.22,0.04,0.06,-0.1,-0.15
SASS,14281M001,Sassnitz,Eurasia,P,13.643,54.331,18.18,15.59,0.19,0.25,-0.63,0.3
GOPE,11502M002,Pecny - Ondrejov,Eurasia,P,14.786,49.724,20.21,15.03,0.05,0.11,0.02,-0.17
GRAZ,11001M002,Graz Lustbuehel,Eurasia,LP,15.493,46.875,21.79,15.67,0.05,0.08,0.83,0.52
WROC,12217M001,Wroclaw,Eurasia,P,17.062,50.925,19.82,14.74,0.04,0.07,-0.52,-0.17
BOR1,12205M002,Borowiec,Eurasia,LP,17.073,52.091,20.03,14.85,0.04,0.07,-0.04,-0.04
PENC,11206M006,Penc,Eurasia,P,19.282,47.598,22.28,14.67,0.06,0.09,0.78,0.02
LAMA,12209M001,Lamkowko,Eurasia,P,20.67,53.709,20.22,14.39,0.05,0.07,-0.17,0.01
JOZE,12204M001,Jozefoslaw,Eurasia,P,21.032,51.911,21.07,14.44,0.05,0.07,0.18,0.08
BOGO,12207M002,Borowa gora,Eurasia,P,21.035,52.29,20.48,14.39,0.06,0.09,-0.32,0.04
KLPD,10802M001,Klaipeda,Eurasia,P,21.119,55.536,19.63,14.15,0.13,0.22,-0.4,-0.14
UZHL,12301M001,Uzhgorod,Eurasia,P,22.298,48.441,21.88,13.86,0.05,0.08,0.01,-0.34
SULP,12366M001,Lviv,Eurasia,P,24.014,49.646,21.7,14.08,0.06,0.09,-0.23,0.15
RIGA,12302M002,Riga,Eurasia,LP,24.059,56.772,20.25,13.37,0.06,0.09,-0.05,-0.47
GLSV,12356M001,Golosiiv - Kiev,Eurasia,P,30.497,50.175,22.36,12.91,0.05,0.06,-0.58,0.1
MIKL,12335M001,Nikolaiev,Eurasia,P,31.973,46.781,23.44,12.51,0.07,0.09,-0.34,-0.06
CRAO,12337M002,Simeiz,Eurasia,LPR,33.991,44.221,23.94,12.03,0.07,0.09,-0.53,-0.17
KHAR,12314M001,Kharkiv,Eurasia,P,36.239,49.816,23.49,11.71,0.27,0.36,-0.41,0.03
MOBN,12365M001,Obninsk/Moscow,Eurasia,P,36.57,54.934,23.11,12.03,0.07,0.09,0.15,0.47
ZWEN,12330M001,Zwenigorod,Eurasia,P,36.759,55.52,22.98,12.41,0.08,0.11,0.12,0.9
MDVO,12309M002,Mendeleevo,Eurasia,P,37.224,55.849,22.71,11.76,0.05,0.07,-0.16,0.35
ZECK,12351M001,Zelenchukskaya,Eurasia,PR,41.565,43.596,25.48,11.57,0.08,0.09,-0.06,0.95
ARTU,12362M001,Arti,Eurasia,P,58.56,56.252,25.01,6.22,0.05,0.06,-0.42,-0.08
NVSK,12319M001,Novossibirsk,Eurasia,P,83.235,54.659,27.04,-1.05,0.05,0.11,0.43,-0.46
KSTU,12349M002,Krasnoyarsk,Eurasia,DP,92.794,55.815,25.02,-4.41,0.07,0.18,-1.08,-1.11
CASC,13909S001,Cascais,Eurasia,P,350.581,38.506,17.84,16.82,0.04,0.08,-0.48,0.03
TORS,10108S001,Hvitanes,Eurasia,P,353.235,61.864,10.3,17.47,0.12,0.22,-1.42,0.95
NEWL,13273M103,Bartinney,Eurasia,P,354.457,49.914,15.68,16.64,0.06,0.1,-0.23,0.02
BRST,10004M004,Brest,Eurasia,P,355.503,48.189,16.22,17.18,0.05,0.1,-0.41,0.57
MADR,13407S012,Madrid-Robledo,Eurasia,PR,355.75,40.239,18.69,16.37,0.04,0.08,-0.11,-0.33
VILL,13406M001,Villafranca,Eurasia,P,356.048,40.254,19.42,16.74,0.04,0.09,0.56,0.06
CANT,13438M001,Cantabria,Eurasia,P,356.202,43.28,18.71,16.67,0.08,0.17,0.59,0.02
YEBE,13420M001,Yebes,Eurasia,PR,356.911,40.335,18.89,16.42,0.04,0.08,-0.1,-0.25
ABER,13231M001,Aberdeen,Eurasia,P,357.92,56.968,14.88,15.78,0.06,0.11,0.37,-0.67
MORP,13299S001,Morpeth,Eurasia,P,358.315,55.032,15.47,16.08,0.04,0.08,0.26,-0.37
NSTG,13216M001,North Shields,Eurasia,P,358.56,54.826,16.1,16.19,0.15,0.24,0.77,-0.26
HRM1,13235S001,Hermitage,Eurasia,P,358.716,51.266,16.56,16.54,0.04,0.07,0.12,0.06
LROC,10023M001,La Rochelle,Eurasia,P,358.781,45.967,18.14,16.34,0.04,0.1,0.21,-0.19
ALAC,13433M001,Alicante,Eurasia,P,359.519,38.152,19.86,16.64,0.04,0.09,-0.08,0.05
CHIZ,10020M001,Chize,Eurasia,P,359.592,45.941,18.67,16.33,0.1,0.15,0.58,-0.17
NPLD,13234M003,Teddington,Eurasia,P,359.66,51.233,16.99,16.09,0.05,0.11,0.35,-0.34
VALE,13439M001,Valencia,Eurasia,P,359.662,39.292,20.1,16.33,0.09,0.17,0.38,-0.24
MALD,22901S001,Male Airport,India,DP,73.526,4.161,46.58,35.17,0.08,0.06,0.85,0.9
IISC,22306M002,Bangalore,India,P,77.57,12.937,41.84,35.51,0.05,0.05,-0.34,-0.02
HYDE,22307M001,Hyderabad,India,P,78.551,17.308,40.88,34.94,0.09,0.12,0.76,-0.85
COLA,23501S001,Colombo,India,D,79.874,6.846,47.43,36.96,2.06,1,2.42,0.71
PUC1,49750S001,Price/Carbon,North America,P,249.191,39.41,-14.02,-8.19,0.06,0.1,-0.05,-0.47
PIE1,40456M001,Pietown,North America,PR,251.881,34.123,-13.47,-6.64,0.06,0.08,-0.52,0.21
7611,40463S001,Los Alamos,North America,R,253.754,35.593,-13.81,-5.92,0.05,0.07,-0.38,0.31
NISU,49507M001,Boulder,North America,P,254.738,39.806,-14.83,-5.6,0.12,0.22,-0.35,0.3
AMC2,40472S004,Colorado Springs,North America,P,255.475,38.615,-14.39,-5.6,0.05,0.08,-0.13,0.05
MDO1,40442M012,Fort Davis,North America,LPR,255.985,30.512,-12.1,-5.54,0.05,0.07,0.16,-0.06
SUM1,49743S001,Summerfield,North America,P,257.488,34.645,-13.12,-5.43,0.08,0.14,0.28,-0.46
AUS5,49579S002,Austin,North America,P,262.244,30.144,-10.84,-3.71,0.29,0.6,1.56,-0.38
PATT,49876S001,Palestine,North America,P,264.281,31.606,-12.77,-2.67,0.18,0.43,0.09,-0.05
ANG1,49569S001,Angleton,North America,P,264.515,29.138,-12.85,-3.13,0.13,0.3,-0.68,-0.61
WNFL,49488M001,Winnfield,North America,P,267.218,31.725,-12.47,-1.85,0.2,0.71,0.47,-0.26
NLIB,40465M001,North Liberty,North America,PR,268.425,41.58,-15.51,-1.22,0.04,0.07,-0.06,-0.04
MIL1,49862S001,Milwaukee,North America,P,272.112,42.811,-15.74,-0.25,0.17,0.49,0.02,-0.37
